Layer_num,Hidden_dim,Trn_RMSE,Val_RMSE,Tst_RMSE,Pred_-12_RMSE,Pred_-12_mean,Pred_-12_std,Pred_-29_RMSE,Pred_-29_mean,Pred_-29_std,Pred_-41_RMSE,Pred_-41_mean,Pred_-41_std
2,32,1.5297220672879899,1.5327392816543581,1.7409228845076128,1.8973199953106812,-11.335744940716287,1.4985911015556068,1.6342892121739696,-30.601734643919855,1.2081295488669703,1.7611641798831577,-40.5971684885549,1.1863467338824596
5,32,1.7234094653810774,1.8569796830415728,5.178647301413796,6.226186780905815,-18.723248326260112,0.24826755998340602,4.9733359281894165,-25.30473712001241,2.6731797596094253,4.44927180279588,-37.45476882729754,0.18975347640368373
10,32,3.2001563004085,3.2019535005092616,7.072251623327082,7.470735647043375,-18.57725485122006,4.35379503252365,8.28232023274314,-22.158386903840142,3.836979870609045,4.604056931681318,-37.29669917102427,0.08344457412114979
