Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1308,-1.41e-06,5.815e-05,4.547e-06,3.357e-05,1.360e-05,2.035e-05,3.150e-05,1.547e-05,2.571e-05,0.0001988,0.0002685,0.0002775,0.0002832,0.0002678,0.0001317,0.0001795,0.0002507,0.0001894,0.0002273,-41.01
1952,-1.49e-06,5.957e-05,6.076e-06,3.512e-05,1.405e-05,2.009e-05,2.977e-05,1.523e-05,2.426e-05,0.0001987,0.0002470,0.0002535,0.0002652,0.0002599,0.0001306,0.0001708,0.0002510,0.0001866,0.0002281,-41.01
1965,-2.70e-06,5.580e-05,1.435e-06,3.095e-05,1.330e-05,1.986e-05,3.336e-05,1.507e-05,2.544e-05,0.0002077,0.0002697,0.0002763,0.0002805,0.0002736,0.0001283,0.0001880,0.0002537,0.0001909,0.0002272,-41.01
2025,-2.02e-06,5.913e-05,4.819e-06,3.494e-05,1.402e-05,2.041e-05,3.031e-05,1.538e-05,2.551e-05,0.0002037,0.0002615,0.0002607,0.0002724,0.0002546,0.0001315,0.0001711,0.0002443,0.0001914,0.0002272,-41.01
2293,-1.80e-06,5.740e-05,6.179e-06,3.450e-05,1.336e-05,1.935e-05,3.125e-05,1.490e-05,2.423e-05,0.0002051,0.0002780,0.0003002,0.0002827,0.0002801,0.0001275,0.0001814,0.0002571,0.0001788,0.0002292,-41.01
3712,-8.08e-07,5.805e-05,6.431e-06,3.381e-05,1.386e-05,1.970e-05,2.993e-05,1.482e-05,2.454e-05,0.0002060,0.0002730,0.0002980,0.0002728,0.0002729,0.0001293,0.0001913,0.0002553,0.0001795,0.0002262,-41.01
3895,-1.29e-06,5.769e-05,6.426e-06,3.608e-05,1.454e-05,1.997e-05,3.174e-05,1.556e-05,2.602e-05,0.0002015,0.0002764,0.0002874,0.0003017,0.0002732,0.0001387,0.0001625,0.0002481,0.0001977,0.0002323,-41.01
3985,-1.48e-06,5.631e-05,5.145e-06,3.645e-05,1.518e-05,2.074e-05,3.471e-05,1.641e-05,2.769e-05,0.0002039,0.0002729,0.0002652,0.0003109,0.0002887,0.0001430,0.0001535,0.0002548,0.0002075,0.0002321,-41.01
3989,-5.52e-07,6.062e-05,8.719e-06,3.745e-05,1.521e-05,1.993e-05,2.902e-05,1.610e-05,2.711e-05,0.0002023,0.0002713,0.0002872,0.0003141,0.0002806,0.0001430,0.0001489,0.0002517,0.0001958,0.0002356,-41.01
4469,-1.74e-06,5.777e-05,5.695e-06,3.487e-05,1.389e-05,2.024e-05,3.215e-05,1.518e-05,2.422e-05,0.0002079,0.0002775,0.0003055,0.0002799,0.0002608,0.0001310,0.0001787,0.0002532,0.0001854,0.0002297,-41.01
