Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1389,-4.08e-06,5.519e-05,-6.68e-06,2.654e-05,1.150e-05,1.469e-05,3.283e-05,1.384e-05,2.616e-05,0.0002019,0.0002641,0.0002969,0.0002785,0.0002639,0.0001074,0.0001929,0.0002339,0.0001806,0.0002243,-36.116
1756,-2.83e-06,5.366e-05,-7.28e-06,2.774e-05,1.318e-05,1.793e-05,3.374e-05,1.498e-05,2.855e-05,0.0002024,0.0002663,0.0002775,0.0003157,0.0002810,0.0001333,0.0001807,0.0002624,0.0002193,0.0002435,-36.116
2046,-2.62e-06,5.525e-05,-6.47e-06,2.787e-05,1.296e-05,1.750e-05,3.519e-05,1.494e-05,2.784e-05,0.0002084,0.0002640,0.0002934,0.0003223,0.0002864,0.0001287,0.0001808,0.0002543,0.0002109,0.0002341,-36.116
2225,-4.28e-06,5.516e-05,-6.71e-06,2.511e-05,1.102e-05,1.443e-05,3.507e-05,1.349e-05,2.571e-05,0.0002196,0.0002703,0.0003289,0.0002677,0.0002635,0.0001062,0.0002003,0.0002485,0.0001730,0.0002244,-36.116
2324,-4.53e-06,5.297e-05,-5.58e-06,2.744e-05,1.143e-05,1.508e-05,3.838e-05,1.427e-05,2.604e-05,0.0002052,0.0002669,0.0002844,0.0002850,0.0002551,0.0001068,0.0001918,0.0002354,0.0001773,0.0002286,-36.116
2328,-4.02e-06,5.465e-05,-7.01e-06,2.527e-05,1.132e-05,1.494e-05,3.323e-05,1.391e-05,2.643e-05,0.0002011,0.0002663,0.0002721,0.0002706,0.0002636,0.0001088,0.0002059,0.0002399,0.0001782,0.0002270,-36.116
2840,-4.28e-06,5.438e-05,-4.35e-06,2.929e-05,1.144e-05,1.638e-05,3.603e-05,1.438e-05,2.623e-05,0.0001983,0.0002495,0.0002775,0.0002788,0.0002692,0.0001098,0.0001768,0.0002462,0.0001867,0.0002303,-36.116
2947,-1.56e-06,5.404e-05,-6.24e-06,2.911e-05,1.356e-05,1.866e-05,3.465e-05,1.591e-05,2.957e-05,0.0002033,0.0002487,0.0002742,0.0003253,0.0002858,0.0001332,0.0001923,0.0002614,0.0002128,0.0002411,-36.116
3417,-3.66e-06,5.321e-05,-8.19e-06,2.365e-05,1.127e-05,1.457e-05,3.318e-05,1.325e-05,2.641e-05,0.0002075,0.0002517,0.0002910,0.0002652,0.0002611,0.0001091,0.0002037,0.0002464,0.0001740,0.0002268,-36.116
3555,2.299e-06,5.636e-05,1.413e-05,3.832e-05,1.248e-05,1.115e-05,2.913e-05,1.320e-05,2.223e-05,0.0002046,0.0002372,0.0002861,0.0002665,0.0002531,0.0001151,9.152e-05,0.0002315,0.0001417,0.0002137,-36.116
4060,-3.88e-06,5.072e-05,-1.00e-05,2.113e-05,1.146e-05,1.448e-05,3.524e-05,1.284e-05,2.565e-05,0.0002198,0.0002631,0.0002992,0.0002670,0.0002715,0.0001168,0.0002077,0.0002574,0.0001823,0.0002278,-36.116
4116,-3.90e-06,5.382e-05,-7.21e-06,2.638e-05,1.152e-05,1.501e-05,3.369e-05,1.410e-05,2.590e-05,0.0002032,0.0002567,0.0002398,0.0002799,0.0002642,0.0001123,0.0002001,0.0002425,0.0001879,0.0002336,-36.116
4405,-4.45e-06,5.539e-05,-4.31e-06,3.013e-05,1.157e-05,1.661e-05,3.381e-05,1.481e-05,2.678e-05,0.0001940,0.0002464,0.0002084,0.0002621,0.0002417,0.0001120,0.0001760,0.0002509,0.0001839,0.0002264,-36.116
4614,-4.05e-06,5.692e-05,-4.66e-06,3.070e-05,1.234e-05,1.704e-05,3.412e-05,1.528e-05,2.801e-05,0.0001949,0.0002636,0.0002947,0.0003022,0.0002722,0.0001225,0.0001641,0.0002412,0.0001999,0.0002320,-36.116
5062,1.613e-05,5.404e-05,1.884e-05,3.442e-05,1.470e-05,2.231e-05,2.960e-05,1.804e-05,2.264e-05,0.0002083,0.0002696,0.0002875,0.0002818,0.0002823,0.0001274,0.0002144,0.0002435,0.0002216,0.0002219,-36.116
