Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1195,3.369e-06,1.045e-05,-1.73e-05,-2.98e-05,2.106e-05,2.652e-05,3.302e-05,1.545e-05,1.087e-05,0.0002406,0.0002986,0.0003576,0.0003200,0.0003033,0.0002016,0.0002650,0.0003074,0.0002349,0.0001721,-12.502
1651,3.375e-06,1.145e-05,-1.65e-05,-2.85e-05,2.051e-05,2.463e-05,3.583e-05,1.599e-05,1.131e-05,0.0002461,0.0003104,0.0003347,0.0003585,0.0003142,0.0002114,0.0002608,0.0003060,0.0002386,0.0001907,-12.502
1914,8.713e-06,1.400e-05,-8.83e-07,-2.46e-05,2.231e-05,2.992e-05,3.758e-05,2.958e-05,1.289e-05,0.0002193,0.0003209,0.0002926,0.0003511,0.0003155,0.0002085,0.0002548,0.0003084,0.0003005,0.0002071,-12.502
3152,3.590e-06,1.188e-05,-1.65e-05,-2.97e-05,2.151e-05,2.572e-05,3.398e-05,1.678e-05,1.112e-05,0.0002327,0.0003219,0.0003533,0.0003272,0.0003075,0.0002039,0.0002610,0.0003098,0.0002550,0.0001733,-12.502
3583,4.019e-06,1.075e-05,-1.72e-05,-3.01e-05,2.159e-05,2.865e-05,3.509e-05,1.471e-05,9.844e-06,0.0002269,0.0002980,0.0003451,0.0003193,0.0003013,0.0002034,0.0002783,0.0002841,0.0002324,0.0001444,-12.502
3945,4.435e-06,1.230e-05,-1.65e-05,-2.89e-05,2.188e-05,2.508e-05,3.368e-05,1.577e-05,1.107e-05,0.0002572,0.0009416,0.0009884,0.0009806,0.0009355,0.0002040,0.0002628,0.0002951,0.0002377,0.0001762,-12.502
4875,3.482e-06,1.232e-05,-1.64e-05,-2.90e-05,2.053e-05,2.423e-05,3.494e-05,1.699e-05,1.111e-05,0.0002315,0.0003157,0.0003422,0.0003431,0.0003060,0.0002054,0.0002689,0.0003059,0.0002503,0.0001800,-12.502
5501,4.009e-06,1.413e-05,-1.73e-05,-2.91e-05,2.027e-05,2.775e-05,3.476e-05,1.561e-05,1.042e-05,0.0002483,0.0003201,0.0003063,0.0003330,0.0003024,0.0002081,0.0002667,0.0002950,0.0002340,0.0001649,-12.502
5754,2.996e-06,1.341e-05,-1.63e-05,-2.76e-05,1.981e-05,2.574e-05,3.573e-05,1.681e-05,1.162e-05,0.0002310,0.0002949,0.0003243,0.0003499,0.0003095,0.0002066,0.0002656,0.0002935,0.0002425,0.0001856,-12.502
6429,4.570e-06,1.177e-05,-1.65e-05,-2.96e-05,2.104e-05,2.493e-05,3.486e-05,1.617e-05,1.080e-05,0.0002304,0.0003213,0.0003873,0.0003364,0.0003116,0.0001994,0.0002685,0.0002997,0.0002486,0.0001694,-12.502
6469,1.993e-06,1.184e-05,-1.66e-05,-2.75e-05,2.214e-05,2.472e-05,3.928e-05,1.777e-05,1.241e-05,0.0002241,0.0002845,0.0003182,0.0003525,0.0003179,0.0002076,0.0002558,0.0002831,0.0002457,0.0002050,-12.502
6912,3.553e-06,1.328e-05,-1.83e-05,-2.89e-05,2.056e-05,2.629e-05,2.967e-05,1.443e-05,1.035e-05,0.0002379,0.0003148,0.0003811,0.0003018,0.0002890,0.0002056,0.0002697,0.0002908,0.0002185,0.0001639,-12.502
7578,4.155e-06,1.253e-05,-1.69e-05,-2.87e-05,2.134e-05,2.671e-05,3.414e-05,1.547e-05,1.073e-05,0.0002281,0.0003003,0.0003130,0.0003264,0.0002978,0.0001968,0.0002606,0.0002990,0.0002261,0.0001636,-12.502
7771,3.456e-06,1.383e-05,-1.69e-05,-2.83e-05,2.116e-05,2.641e-05,3.471e-05,1.578e-05,1.114e-05,0.0002546,0.0003162,0.0002948,0.0003144,0.0003012,0.0002066,0.0002685,0.0003018,0.0002389,0.0001814,-12.502
7809,3.273e-06,1.194e-05,-1.66e-05,-2.81e-05,2.107e-05,2.769e-05,3.502e-05,1.512e-05,1.080e-05,0.0002497,0.0003196,0.0003690,0.0003348,0.0003122,0.0002087,0.0002687,0.0002918,0.0002244,0.0001739,-12.502
