Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
2088,-1.53e-05,-1.38e-05,-1.44e-05,-3.02e-05,2.384e-05,1.472e-05,1.705e-05,1.318e-05,8.743e-06,0.0002178,0.0002047,0.0002367,0.0002067,0.0001762,0.0001944,0.0002003,0.0002169,4.464e-05,6.051e-05,-3.969
4668,-1.52e-05,-1.38e-05,-1.45e-05,-3.01e-05,2.354e-05,1.472e-05,1.590e-05,1.294e-05,8.791e-06,0.0002209,0.0002130,0.0002107,0.0002079,0.0001829,0.0001925,0.0002018,0.0002158,4.485e-05,6.093e-05,-3.969
5786,-1.43e-05,-1.37e-05,-1.39e-05,-2.95e-05,2.367e-05,1.480e-05,1.663e-05,1.299e-05,8.653e-06,0.0002226,0.0002306,0.0002180,0.0002050,0.0001833,0.0001982,0.0001977,0.0002217,4.368e-05,6.095e-05,-3.969
8815,-1.58e-05,-1.44e-05,-1.96e-05,-3.33e-05,2.041e-05,2.717e-05,2.002e-05,1.112e-05,8.276e-06,0.0001954,0.0001951,0.0002177,0.0001946,0.0001823,0.0001994,0.0001992,0.0002268,0.0001807,0.0001072,-3.969
10158,-1.56e-05,-1.45e-05,-1.46e-05,-3.00e-05,2.293e-05,1.445e-05,1.549e-05,1.281e-05,9.053e-06,0.0002307,0.0002031,0.0002508,0.0002200,0.0001762,0.0002005,0.0001992,0.0002169,5.282e-05,5.528e-05,-3.969
10294,-1.55e-05,-1.58e-05,-1.52e-05,-3.04e-05,2.387e-05,1.498e-05,1.490e-05,1.303e-05,8.927e-06,0.0002288,0.0002189,0.0002463,0.0002159,0.0001807,0.0002027,0.0001972,0.0002084,4.793e-05,5.758e-05,-3.969
10377,-1.62e-05,-1.57e-05,-1.48e-05,-3.04e-05,2.363e-05,1.431e-05,1.714e-05,1.278e-05,9.044e-06,0.0002147,0.0002065,0.0002121,0.0002136,0.0001742,0.0002018,0.0001964,0.0002213,5.366e-05,5.635e-05,-3.969
11459,-1.56e-05,-1.50e-05,-1.44e-05,-3.08e-05,2.306e-05,1.569e-05,1.645e-05,1.279e-05,8.426e-06,0.0002007,0.0002148,0.0002323,0.0002047,0.0001758,0.0001980,0.0002120,0.0002160,4.371e-05,6.656e-05,-3.969
11639,-1.59e-05,-1.43e-05,-1.78e-05,-3.21e-05,2.183e-05,2.319e-05,2.281e-05,1.041e-05,8.083e-06,0.0002120,0.0002149,0.0002039,0.0001969,0.0001869,0.0002004,0.0002112,0.0002298,0.0001346,9.513e-05,-3.969
14289,-1.51e-05,-1.54e-05,-1.45e-05,-2.99e-05,2.417e-05,1.493e-05,1.470e-05,1.282e-05,9.168e-06,0.0002196,0.0002182,0.0002451,0.0002188,0.0001755,0.0002026,0.0002014,0.0002082,0.0001215,5.415e-05,-3.969
14406,-1.56e-05,-1.49e-05,-1.45e-05,-3.04e-05,2.367e-05,1.485e-05,1.780e-05,1.300e-05,8.752e-06,0.0002052,0.0001966,0.0002356,0.0002158,0.0001812,0.0001926,0.0002004,0.0002228,4.494e-05,6.065e-05,-3.969
16597,-1.70e-05,-1.56e-05,-1.95e-05,-3.31e-05,2.091e-05,2.470e-05,2.069e-05,1.031e-05,8.262e-06,0.0001977,0.0002113,0.0002175,0.0001927,0.0001893,0.0002000,0.0002100,0.0002202,0.0001649,0.0001010,-3.969
17020,-1.60e-05,-1.55e-05,-1.88e-05,-3.25e-05,2.177e-05,2.511e-05,2.007e-05,1.093e-05,8.274e-06,0.0001990,0.0001997,0.0002116,0.0002041,0.0001898,0.0002002,0.0002132,0.0002222,0.0001766,0.0001016,-3.969
18150,-1.52e-05,-1.47e-05,-1.45e-05,-3.02e-05,2.360e-05,1.521e-05,1.568e-05,1.309e-05,8.805e-06,0.0002091,0.0001890,0.0002230,0.0002058,0.0001830,0.0002009,0.0002068,0.0002224,4.418e-05,6.213e-05,-3.969
18277,-1.69e-05,-1.73e-05,-1.55e-05,-3.19e-05,2.304e-05,1.687e-05,1.850e-05,1.254e-05,8.478e-06,0.0002181,0.0002120,0.0002124,0.0002172,0.0001829,0.0001931,0.0002052,0.0002223,4.337e-05,7.032e-05,-3.969
18501,-1.61e-05,-1.43e-05,-1.65e-05,-3.17e-05,2.134e-05,2.001e-05,2.055e-05,1.109e-05,8.141e-06,0.0002188,0.0002135,0.0002420,0.0002073,0.0001884,0.0002003,0.0002208,0.0002307,0.0001006,8.556e-05,-3.969
18544,-1.61e-05,-1.54e-05,-1.46e-05,-3.03e-05,2.329e-05,1.534e-05,1.662e-05,1.303e-05,8.875e-06,0.0002105,0.0002141,0.0002173,0.0002119,0.0001739,0.0001992,0.0001987,0.0002196,4.394e-05,5.896e-05,-3.969
18844,-1.67e-05,-1.56e-05,-1.48e-05,-3.12e-05,2.266e-05,1.572e-05,1.839e-05,1.296e-05,8.675e-06,0.0002136,0.0002140,0.0002467,0.0002012,0.0001771,0.0001984,0.0002012,0.0002240,4.374e-05,6.423e-05,-3.969
19731,-1.48e-05,-1.39e-05,-1.40e-05,-2.95e-05,2.441e-05,1.469e-05,1.532e-05,1.257e-05,9.177e-06,0.0002193,0.0002053,0.0002385,0.0002149,0.0001774,0.0002015,0.0001924,0.0002173,5.735e-05,5.422e-05,-3.969
20066,-1.62e-05,-1.59e-05,-1.49e-05,-3.16e-05,2.265e-05,1.588e-05,1.660e-05,1.270e-05,8.585e-06,0.0002110,0.0002030,0.0002303,0.0002012,0.0001785,0.0001938,0.0002026,0.0002136,4.424e-05,6.409e-05,-3.969
21086,-1.45e-05,-1.38e-05,-1.41e-05,-2.93e-05,2.387e-05,1.459e-05,1.561e-05,1.304e-05,9.057e-06,0.0002140,0.0002333,0.0002233,0.0002236,0.0001742,0.0001971,0.0001920,0.0002212,5.700e-05,5.616e-05,-3.969
21464,-1.78e-05,-1.79e-05,-1.63e-05,-3.30e-05,2.203e-05,1.818e-05,1.715e-05,1.218e-05,8.355e-06,0.0001877,0.0001981,0.0001983,0.0002035,0.0001734,0.0001939,0.0002027,0.0002256,4.561e-05,6.988e-05,-3.969
22707,-1.71e-05,-1.52e-05,-1.68e-05,-3.19e-05,2.118e-05,1.969e-05,2.310e-05,1.148e-05,8.289e-06,0.0002257,0.0002080,0.0002211,0.0002015,0.0001889,0.0001957,0.0002124,0.0002313,0.0001051,8.235e-05,-3.969
23342,-1.70e-05,-1.62e-05,-1.52e-05,-3.15e-05,2.272e-05,1.595e-05,1.752e-05,1.305e-05,8.810e-06,0.0002031,0.0002088,0.0002112,0.0002098,0.0001752,0.0001919,0.0002004,0.0002209,4.435e-05,6.444e-05,-3.969
23770,-1.46e-05,-1.43e-05,-1.40e-05,-2.94e-05,2.352e-05,1.396e-05,1.664e-05,1.252e-05,9.229e-06,0.0002326,0.0002111,0.0002341,0.0002046,0.0001754,0.0002063,0.0001946,0.0002088,5.637e-05,5.400e-05,-3.969
24144,-1.50e-05,-1.32e-05,-1.45e-05,-3.02e-05,2.338e-05,1.813e-05,1.990e-05,1.223e-05,8.305e-06,0.0002131,0.0001980,0.0002256,0.0002107,0.0001847,0.0001988,0.0002057,0.0002179,4.281e-05,7.278e-05,-3.969
25331,-1.50e-05,-1.41e-05,-1.46e-05,-2.98e-05,2.441e-05,1.436e-05,1.633e-05,1.300e-05,8.969e-06,0.0002095,0.0001954,0.0002284,0.0002097,0.0001733,0.0001959,0.0001986,0.0002169,4.750e-05,5.605e-05,-3.969
29752,-1.64e-05,-1.55e-05,-1.57e-05,-3.17e-05,2.196e-05,1.849e-05,2.023e-05,1.194e-05,8.232e-06,0.0002165,0.0002116,0.0002124,0.0001970,0.0001904,0.0002029,0.0002108,0.0002249,4.459e-05,7.732e-05,-3.969
29896,-1.64e-05,-1.52e-05,-1.49e-05,-3.06e-05,2.337e-05,1.585e-05,1.650e-05,1.318e-05,8.821e-06,0.0002321,0.0002203,0.0002254,0.0002100,0.0001811,0.0001988,0.0002040,0.0002169,4.676e-05,6.056e-05,-3.969
31860,-1.60e-05,-1.56e-05,-1.45e-05,-3.08e-05,2.323e-05,1.809e-05,1.832e-05,1.227e-05,8.421e-06,0.0002262,0.0002090,0.0002278,0.0002189,0.0001847,0.0002045,0.0002108,0.0002242,4.542e-05,7.451e-05,-3.969
32285,-1.62e-05,-1.46e-05,-1.48e-05,-3.07e-05,2.275e-05,1.548e-05,1.632e-05,1.313e-05,8.768e-06,0.0002158,0.0002079,0.0002474,0.0002094,0.0001741,0.0001962,0.0002008,0.0002193,4.712e-05,6.137e-05,-3.969
32418,-1.53e-05,-1.53e-05,-1.50e-05,-3.07e-05,2.301e-05,1.812e-05,1.865e-05,1.209e-05,8.241e-06,0.0002209,0.0002268,0.0002501,0.0002028,0.0001872,0.0002051,0.0002159,0.0002232,4.462e-05,7.881e-05,-3.969
32844,-1.44e-05,-1.37e-05,-1.40e-05,-2.95e-05,2.345e-05,1.427e-05,1.506e-05,1.255e-05,9.183e-06,0.0002051,0.0002045,0.0002318,0.0002098,0.0001735,0.0001994,0.0001972,0.0002129,5.824e-05,5.511e-05,-3.969
32909,-1.70e-05,-1.53e-05,-1.83e-05,-3.31e-05,2.143e-05,2.109e-05,2.100e-05,1.087e-05,8.254e-06,0.0002083,0.0002084,0.0002419,0.0002037,0.0001934,0.0001935,0.0002087,0.0002240,0.0001216,9.194e-05,-3.969
32982,-1.68e-05,-1.64e-05,-1.52e-05,-3.12e-05,2.306e-05,1.564e-05,1.483e-05,1.325e-05,8.953e-06,0.0002146,0.0002145,0.0002260,0.0002166,0.0001767,0.0001927,0.0001973,0.0002237,4.956e-05,5.896e-05,-3.969
33238,-1.55e-05,-1.39e-05,-1.39e-05,-3.04e-05,2.462e-05,1.597e-05,1.390e-05,1.307e-05,8.689e-06,0.0002131,0.0002196,0.0002258,0.0002196,0.0001759,0.0001903,0.0002078,0.0002211,4.739e-05,6.350e-05,-3.969
33559,-1.57e-05,-1.51e-05,-1.53e-05,-3.07e-05,2.379e-05,1.427e-05,1.609e-05,1.297e-05,9.104e-06,0.0002322,0.0002304,0.0002201,0.0002187,0.0001760,0.0001922,0.0001975,0.0002220,5.850e-05,5.629e-05,-3.969
33960,-1.47e-05,-1.48e-05,-1.45e-05,-2.99e-05,2.295e-05,1.398e-05,1.603e-05,1.245e-05,9.155e-06,0.0002244,0.0002126,0.0002351,0.0002210,0.0001739,0.0001962,0.0001983,0.0002164,5.713e-05,5.466e-05,-3.969
39065,-1.62e-05,-1.51e-05,-1.47e-05,-3.08e-05,2.259e-05,1.911e-05,1.808e-05,1.212e-05,8.349e-06,0.0002139,0.0002104,0.0002223,0.0002199,0.0001857,0.0002086,0.0002214,0.0002247,4.879e-05,7.599e-05,-3.969
40164,-1.54e-05,-1.48e-05,-1.38e-05,-3.00e-05,2.307e-05,1.535e-05,1.603e-05,1.323e-05,8.823e-06,0.0002146,0.0002112,0.0002206,0.0002074,0.0001764,0.0001966,0.0001979,0.0002144,4.786e-05,6.088e-05,-3.969
41329,-1.56e-05,-1.50e-05,-1.47e-05,-3.03e-05,2.324e-05,1.469e-05,1.472e-05,1.270e-05,9.029e-06,0.0002220,0.0002267,0.0002457,0.0002146,0.0001747,0.0002016,0.0001949,0.0002168,5.759e-05,5.604e-05,-3.969
43083,-1.53e-05,-1.51e-05,-1.41e-05,-2.97e-05,2.491e-05,1.507e-05,1.602e-05,1.319e-05,9.116e-06,0.0002221,0.0002026,0.0002117,0.0002136,0.0001742,0.0001991,0.0001991,0.0002248,6.019e-05,5.716e-05,-3.969
45276,-1.57e-05,-1.51e-05,-1.47e-05,-3.12e-05,2.344e-05,1.570e-05,1.877e-05,1.277e-05,8.529e-06,0.0001989,0.0002029,0.0002276,0.0002140,0.0001844,0.0001953,0.0001961,0.0002179,4.249e-05,6.535e-05,-3.969
45487,-1.51e-05,-1.40e-05,-1.38e-05,-3.02e-05,2.380e-05,1.574e-05,1.572e-05,1.293e-05,8.615e-06,0.0002268,0.0002308,0.0002250,0.0002050,0.0001793,0.0002034,0.0002048,0.0002157,4.303e-05,6.544e-05,-3.969
45556,-1.47e-05,-1.32e-05,-1.36e-05,-2.90e-05,2.445e-05,1.498e-05,1.615e-05,1.313e-05,8.977e-06,0.0002233,0.0002188,0.0002543,0.0002198,0.0001816,0.0001994,0.0002015,0.0002164,4.962e-05,5.870e-05,-3.969
45803,-1.64e-05,-1.49e-05,-1.55e-05,-3.10e-05,2.206e-05,1.741e-05,1.883e-05,1.219e-05,8.305e-06,0.0002328,0.0002431,0.0002687,0.0002091,0.0001900,0.0001981,0.0001981,0.0002185,4.263e-05,6.975e-05,-3.969
46131,-1.60e-05,-1.60e-05,-1.51e-05,-3.13e-05,2.332e-05,1.603e-05,1.636e-05,1.275e-05,8.496e-06,0.0002114,0.0002267,0.0002573,0.0002038,0.0001825,0.0001958,0.0002093,0.0002220,4.307e-05,6.785e-05,-3.969
46685,-1.73e-05,-1.59e-05,-1.64e-05,-3.22e-05,2.144e-05,1.801e-05,1.700e-05,1.228e-05,8.352e-06,0.0002056,0.0002129,0.0002212,0.0002137,0.0001805,0.0002027,0.0002133,0.0002237,4.604e-05,7.532e-05,-3.969
