Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1195,8.046e-08,3.710e-05,-2.24e-05,-2.29e-06,1.624e-05,1.872e-05,3.680e-05,1.364e-05,2.360e-05,0.0002109,0.0002311,0.0002475,0.0002984,0.0002757,0.0001760,0.0002289,0.0002560,0.0002000,0.0002484,-24.077
1647,-3.95e-07,3.183e-05,-2.42e-05,-9.90e-06,1.612e-05,1.996e-05,3.550e-05,1.072e-05,1.704e-05,0.0002204,0.0002683,0.0002856,0.0002566,0.0002916,0.0001862,0.0002297,0.0002761,0.0001517,0.0002341,-24.077
1859,6.949e-07,3.841e-05,-2.21e-05,-3.07e-06,1.531e-05,1.924e-05,3.413e-05,1.242e-05,2.233e-05,0.0002122,0.0002740,0.0003149,0.0002917,0.0002586,0.0001819,0.0002312,0.0002527,0.0001830,0.0002488,-24.077
1912,6.393e-07,3.238e-05,-2.17e-05,-1.77e-06,1.575e-05,1.969e-05,4.152e-05,1.283e-05,2.265e-05,0.0002297,0.0002760,0.0002843,0.0002990,0.0002818,0.0001758,0.0002355,0.0002678,0.0001892,0.0002524,-24.077
2053,7.659e-07,3.559e-05,-2.18e-05,-2.96e-06,1.485e-05,1.937e-05,3.805e-05,1.188e-05,2.225e-05,0.0002173,0.0002561,0.0002883,0.0002863,0.0002901,0.0001811,0.0002371,0.0002653,0.0001744,0.0002449,-24.077
2762,6.634e-07,3.255e-05,-2.33e-05,-7.87e-06,1.614e-05,2.081e-05,3.824e-05,1.213e-05,1.920e-05,0.0002214,0.0002762,0.0003200,0.0002723,0.0003004,0.0001895,0.0002347,0.0002701,0.0001666,0.0002398,-24.077
2938,6.806e-07,3.324e-05,-2.34e-05,-7.37e-06,1.567e-05,1.971e-05,3.337e-05,1.108e-05,1.769e-05,0.0002163,0.0002586,0.0003313,0.0002651,0.0002806,0.0001899,0.0002278,0.0002650,0.0001557,0.0002401,-24.077
2994,2.426e-07,3.558e-05,-2.28e-05,-4.42e-06,1.493e-05,2.008e-05,3.484e-05,1.191e-05,2.074e-05,0.0001992,0.0002243,0.0002214,0.0002407,0.0002515,0.0001768,0.0002320,0.0002544,0.0001739,0.0002406,-24.077
3486,3.799e-07,3.006e-05,-2.41e-05,-1.16e-05,1.685e-05,2.040e-05,3.520e-05,1.116e-05,1.636e-05,0.0002298,0.0002559,0.0002692,0.0002593,0.0002961,0.0001925,0.0002281,0.0002567,0.0001536,0.0002312,-24.077
3564,7.866e-07,3.629e-05,-2.22e-05,-3.30e-06,1.493e-05,1.950e-05,3.709e-05,1.132e-05,2.003e-05,0.0002171,0.0002800,0.0003253,0.0002759,0.0002900,0.0001836,0.0002342,0.0002646,0.0001654,0.0002383,-24.077
