Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1887,3.670e-06,1.381e-05,-1.71e-05,-2.86e-05,2.124e-05,2.706e-05,3.285e-05,1.489e-05,1.053e-05,0.0002496,0.0003204,0.0003185,0.0003244,0.0003092,0.0001968,0.0002620,0.0003062,0.0002179,0.0001555,-12.502
2217,3.132e-06,1.377e-05,-1.63e-05,-2.77e-05,2.135e-05,2.455e-05,3.565e-05,1.608e-05,1.151e-05,0.0002121,0.0003248,0.0003360,0.0003291,0.0003025,0.0002080,0.0002630,0.0002966,0.0002331,0.0001725,-12.502
2552,4.956e-06,1.241e-05,-1.76e-05,-2.85e-05,2.073e-05,2.528e-05,3.400e-05,1.461e-05,1.056e-05,0.0002235,0.0002897,0.0003276,0.0003176,0.0002822,0.0002086,0.0002533,0.0003034,0.0002153,0.0001489,-12.502
4380,4.852e-06,1.299e-05,-1.70e-05,-2.94e-05,2.093e-05,2.681e-05,3.550e-05,1.528e-05,9.974e-06,0.0002458,0.0002879,0.0002458,0.0003178,0.0002897,0.0002027,0.0002701,0.0003006,0.0002271,0.0001332,-12.502
4808,3.626e-06,1.129e-05,-1.73e-05,-2.88e-05,2.179e-05,2.597e-05,3.936e-05,1.528e-05,1.080e-05,0.0002341,0.0002959,0.0003323,0.0003137,0.0003108,0.0002041,0.0002600,0.0002952,0.0002292,0.0001610,-12.502
6016,3.463e-06,9.598e-06,-1.66e-05,-3.01e-05,2.085e-05,2.710e-05,3.514e-05,1.586e-05,1.033e-05,0.0002322,0.0003213,0.0003433,0.0003350,0.0003016,0.0002003,0.0002715,0.0002900,0.0002323,0.0001430,-12.502
6296,3.668e-06,6.177e-06,-1.59e-05,-2.95e-05,2.143e-05,2.762e-05,3.910e-05,1.509e-05,9.947e-06,0.0002561,0.0003084,0.0003346,0.0003168,0.0002880,0.0002123,0.0002624,0.0003119,0.0002329,0.0001392,-12.502
6667,3.137e-06,1.332e-05,-1.67e-05,-2.87e-05,2.020e-05,2.462e-05,3.609e-05,1.561e-05,1.161e-05,0.0002317,0.0003092,0.0003818,0.0003538,0.0003154,0.0002087,0.0002662,0.0002861,0.0002294,0.0001652,-12.502
7601,4.341e-06,1.142e-05,-1.71e-05,-3.06e-05,2.045e-05,2.757e-05,3.121e-05,1.531e-05,9.705e-06,0.0002307,0.0003263,0.0003391,0.0003209,0.0002841,0.0002026,0.0002655,0.0002800,0.0002242,0.0001261,-12.502
7710,3.766e-06,1.293e-05,-1.65e-05,-3.01e-05,2.080e-05,2.727e-05,3.044e-05,1.592e-05,1.029e-05,0.0002541,0.0002822,0.0003166,0.0003079,0.0002944,0.0002032,0.0002656,0.0002947,0.0002329,0.0001471,-12.502
