Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1144,-1.22e-05,4.694e-05,-9.38e-06,2.275e-05,1.059e-05,1.759e-05,3.438e-05,1.435e-05,2.714e-05,0.0002300,0.0002588,0.0003035,0.0002689,0.0002719,0.0001090,0.0001837,0.0002522,0.0001790,0.0002290,-39.4
2367,-1.19e-05,4.880e-05,-7.80e-06,2.474e-05,1.006e-05,1.634e-05,3.261e-05,1.457e-05,2.573e-05,0.0002183,0.0002593,0.0003214,0.0002679,0.0002698,0.0001017,0.0001812,0.0002507,0.0001661,0.0002337,-39.4
2498,-1.14e-05,5.050e-05,-5.29e-06,2.569e-05,1.080e-05,1.728e-05,2.930e-05,1.406e-05,2.604e-05,0.0002242,0.0002525,0.0002321,0.0002602,0.0002682,0.0001059,0.0001868,0.0002520,0.0001592,0.0002209,-39.4
2643,-1.24e-05,4.914e-05,-7.45e-06,2.407e-05,1.024e-05,1.656e-05,3.244e-05,1.415e-05,2.583e-05,0.0002220,0.0002504,0.0002806,0.0002549,0.0002961,0.0001016,0.0001803,0.0002551,0.0001639,0.0002226,-39.4
3860,-1.18e-05,4.904e-05,-4.96e-06,2.632e-05,1.034e-05,1.717e-05,3.352e-05,1.451e-05,2.614e-05,0.0002205,0.0002547,0.0002937,0.0002695,0.0002607,0.0001061,0.0001761,0.0002558,0.0001659,0.0002288,-39.4
4418,-1.20e-05,4.846e-05,-7.98e-06,2.507e-05,1.076e-05,1.647e-05,3.230e-05,1.395e-05,2.367e-05,0.0002211,0.0002599,0.0003146,0.0002613,0.0002710,0.0001028,0.0001840,0.0002494,0.0001588,0.0002231,-39.4
4479,-1.19e-05,5.010e-05,-6.58e-06,2.511e-05,1.016e-05,1.677e-05,3.248e-05,1.427e-05,2.596e-05,0.0002270,0.0002548,0.0002616,0.0002727,0.0002864,0.0001024,0.0001776,0.0002456,0.0001635,0.0002314,-39.4
4684,-1.24e-05,4.843e-05,-7.25e-06,2.481e-05,1.070e-05,1.592e-05,3.238e-05,1.361e-05,2.545e-05,0.0002217,0.0002569,0.0002679,0.0002604,0.0002675,0.0001024,0.0001761,0.0002655,0.0001569,0.0002235,-39.4
4822,-1.17e-05,5.076e-05,-5.23e-06,2.651e-05,1.033e-05,1.590e-05,3.246e-05,1.380e-05,2.455e-05,0.0002224,0.0002320,0.0002326,0.0002448,0.0002567,0.0001011,0.0001667,0.0002421,0.0001565,0.0002265,-39.4
5127,-1.18e-05,4.836e-05,-7.21e-06,2.469e-05,1.053e-05,1.647e-05,3.333e-05,1.408e-05,2.537e-05,0.0002210,0.0002519,0.0002859,0.0002571,0.0002513,0.0001008,0.0001815,0.0002534,0.0001598,0.0002246,-39.4
5194,-1.15e-05,4.840e-05,-5.76e-06,2.536e-05,1.089e-05,1.787e-05,3.160e-05,1.446e-05,2.613e-05,0.0002274,0.0002608,0.0003186,0.0002735,0.0002702,0.0001102,0.0001824,0.0002595,0.0001719,0.0002296,-39.4
6236,-1.21e-05,5.099e-05,-8.42e-06,2.437e-05,1.025e-05,1.673e-05,3.086e-05,1.460e-05,2.614e-05,0.0002106,0.0002454,0.0002697,0.0002615,0.0002574,0.0001036,0.0001791,0.0002470,0.0001705,0.0002294,-39.4
6506,-1.21e-05,4.957e-05,-6.65e-06,2.463e-05,1.084e-05,1.619e-05,3.113e-05,1.364e-05,2.642e-05,0.0002177,0.0002471,0.0002892,0.0002525,0.0002894,0.0001013,0.0001778,0.0002439,0.0001573,0.0002184,-39.4
6686,-1.21e-05,4.780e-05,-8.32e-06,2.375e-05,1.049e-05,1.665e-05,3.407e-05,1.446e-05,2.612e-05,0.0002238,0.0002502,0.0002665,0.0002692,0.0002785,0.0001001,0.0001866,0.0002526,0.0001628,0.0002273,-39.4
7581,-1.19e-05,4.901e-05,-5.90e-06,2.538e-05,1.032e-05,1.748e-05,3.176e-05,1.468e-05,2.745e-05,0.0002241,0.0002596,0.0002814,0.0002711,0.0002634,0.0001049,0.0001841,0.0002491,0.0001677,0.0002298,-39.4
8364,-1.19e-05,4.881e-05,-5.58e-06,2.587e-05,1.049e-05,1.661e-05,3.250e-05,1.428e-05,2.595e-05,0.0002230,0.0002438,0.0002938,0.0002618,0.0002633,0.0001030,0.0001770,0.0002537,0.0001593,0.0002261,-39.4
8557,-1.11e-05,5.155e-05,-3.73e-06,2.892e-05,1.057e-05,1.760e-05,3.124e-05,1.484e-05,2.631e-05,0.0001984,0.0002502,0.0003186,0.0002822,0.0002632,0.0001092,0.0001753,0.0002456,0.0001719,0.0002254,-39.4
9048,-1.22e-05,4.798e-05,-8.37e-06,2.482e-05,1.032e-05,1.760e-05,3.475e-05,1.488e-05,2.608e-05,0.0002034,0.0002636,0.0002889,0.0002723,0.0002802,0.0001078,0.0001827,0.0002526,0.0001797,0.0002267,-39.4
9699,-1.26e-05,4.930e-05,-6.50e-06,2.673e-05,1.044e-05,1.721e-05,3.490e-05,1.488e-05,2.631e-05,0.0001919,0.0002618,0.0003092,0.0002699,0.0002729,0.0001051,0.0001680,0.0002386,0.0001713,0.0002232,-39.4
9771,-1.20e-05,5.017e-05,-6.31e-06,2.554e-05,1.077e-05,1.780e-05,3.056e-05,1.459e-05,2.483e-05,0.0002207,0.0002703,0.0002946,0.0002751,0.0002840,0.0001077,0.0001793,0.0002413,0.0001685,0.0002278,-39.4
9810,-1.35e-05,4.415e-05,-1.48e-05,1.905e-05,1.075e-05,1.222e-05,3.405e-05,1.450e-05,2.730e-05,0.0002336,0.0002496,0.0003034,0.0002721,0.0002683,0.0001132,0.0001221,0.0002548,0.0001671,0.0002319,-39.4
9868,-1.17e-05,5.025e-05,-7.37e-06,2.487e-05,1.071e-05,1.815e-05,3.088e-05,1.453e-05,2.490e-05,0.0002337,0.0002612,0.0002865,0.0002775,0.0002714,0.0001095,0.0001853,0.0002526,0.0001679,0.0002247,-39.4
10581,-1.25e-05,5.024e-05,-7.84e-06,2.545e-05,1.069e-05,1.805e-05,2.940e-05,1.481e-05,2.704e-05,0.0001979,0.0002704,0.0002721,0.0002723,0.0002765,0.0001132,0.0001773,0.0002594,0.0001818,0.0002265,-39.4
11059,-1.11e-05,4.945e-05,-4.68e-06,2.664e-05,1.074e-05,1.716e-05,3.204e-05,1.445e-05,2.495e-05,0.0002365,0.0002607,0.0003090,0.0002674,0.0002544,0.0001085,0.0001795,0.0002501,0.0001648,0.0002254,-39.4
11594,-1.13e-05,4.956e-05,-4.27e-06,2.700e-05,1.074e-05,1.803e-05,3.203e-05,1.492e-05,2.554e-05,0.0001960,0.0002570,0.0003047,0.0002646,0.0002688,0.0001104,0.0001797,0.0002548,0.0001701,0.0002247,-39.4
11598,-1.26e-05,4.753e-05,-8.46e-06,2.530e-05,1.036e-05,1.734e-05,3.315e-05,1.443e-05,2.610e-05,0.0002191,0.0002419,0.0002509,0.0002630,0.0002537,0.0001044,0.0001741,0.0002409,0.0001771,0.0002227,-39.4
11975,-7.30e-06,4.861e-05,-1.98e-06,2.793e-05,1.068e-05,1.533e-05,3.006e-05,1.437e-05,2.331e-05,0.0002249,0.0002488,0.0002492,0.0002640,0.0002627,0.0001052,0.0001840,0.0002470,0.0001563,0.0002255,-39.4
12208,-1.14e-05,5.048e-05,-6.85e-06,2.780e-05,1.072e-05,1.804e-05,3.473e-05,1.517e-05,2.793e-05,0.0001794,0.0002570,0.0002623,0.0002748,0.0002532,0.0001113,0.0001743,0.0002528,0.0001805,0.0002230,-39.4
12502,-1.24e-05,4.940e-05,-8.38e-06,2.413e-05,1.081e-05,1.614e-05,3.046e-05,1.356e-05,2.507e-05,0.0002155,0.0002325,0.0002981,0.0002504,0.0002494,0.0001040,0.0001770,0.0002501,0.0001607,0.0002298,-39.4
12527,-1.23e-05,4.785e-05,-9.97e-06,2.278e-05,1.085e-05,1.600e-05,3.237e-05,1.333e-05,2.570e-05,0.0002191,0.0002629,0.0002855,0.0002631,0.0002645,0.0001026,0.0001795,0.0002564,0.0001660,0.0002236,-39.4
12554,-1.21e-05,4.899e-05,-8.03e-06,2.556e-05,1.015e-05,1.650e-05,3.313e-05,1.430e-05,2.521e-05,0.0002191,0.0002395,0.0002569,0.0002510,0.0002410,0.0001016,0.0001828,0.0002472,0.0001675,0.0002283,-39.4
12745,-1.22e-05,4.864e-05,-9.13e-06,2.338e-05,1.032e-05,1.726e-05,3.261e-05,1.415e-05,2.506e-05,0.0002248,0.0002518,0.0003018,0.0002595,0.0002819,0.0001054,0.0001874,0.0002545,0.0001691,0.0002260,-39.4
13849,-1.15e-05,5.128e-05,-4.32e-06,2.810e-05,1.086e-05,1.844e-05,3.248e-05,1.510e-05,2.580e-05,0.0001943,0.0002656,0.0002979,0.0002834,0.0002787,0.0001123,0.0001725,0.0002590,0.0001760,0.0002274,-39.4
13969,-1.18e-05,4.916e-05,-6.86e-06,2.563e-05,1.099e-05,1.698e-05,3.257e-05,1.405e-05,2.419e-05,0.0002215,0.0002469,0.0003012,0.0002562,0.0002638,0.0001066,0.0001802,0.0002505,0.0001653,0.0002248,-39.4
15845,-1.23e-05,4.897e-05,-5.86e-06,2.545e-05,1.088e-05,1.707e-05,3.086e-05,1.418e-05,2.498e-05,0.0002241,0.0002588,0.0003119,0.0002620,0.0002534,0.0001082,0.0001782,0.0002637,0.0001626,0.0002261,-39.4
16132,-1.17e-05,4.753e-05,-8.80e-06,2.445e-05,1.039e-05,1.804e-05,3.490e-05,1.505e-05,2.605e-05,0.0001988,0.0002511,0.0002826,0.0002682,0.0002557,0.0001098,0.0001848,0.0002506,0.0001790,0.0002266,-39.4
16142,-1.11e-05,5.004e-05,-3.81e-06,2.746e-05,1.085e-05,1.865e-05,2.990e-05,1.526e-05,2.761e-05,0.0001860,0.0002347,0.0002829,0.0002636,0.0002624,0.0001155,0.0001763,0.0002509,0.0001781,0.0002241,-39.4
17998,-1.21e-05,4.964e-05,-5.58e-06,2.729e-05,1.058e-05,1.764e-05,3.296e-05,1.524e-05,2.693e-05,0.0001861,0.0002472,0.0002787,0.0002602,0.0002753,0.0001109,0.0001698,0.0002478,0.0001740,0.0002243,-39.4
18700,-1.22e-05,5.060e-05,-5.86e-06,2.580e-05,1.046e-05,1.750e-05,3.118e-05,1.445e-05,2.532e-05,0.0002338,0.0002613,0.0002904,0.0002645,0.0002638,0.0001074,0.0001774,0.0002446,0.0001646,0.0002320,-39.4
18707,-1.24e-05,4.933e-05,-7.33e-06,2.513e-05,1.073e-05,1.736e-05,3.200e-05,1.447e-05,2.571e-05,0.0002116,0.0002453,0.0002870,0.0002652,0.0002796,0.0001087,0.0001813,0.0002405,0.0001734,0.0002255,-39.4
19079,-1.16e-05,4.889e-05,-6.09e-06,2.475e-05,1.100e-05,1.784e-05,3.215e-05,1.438e-05,2.556e-05,0.0002117,0.0002458,0.0002718,0.0002563,0.0002504,0.0001071,0.0001825,0.0002459,0.0001638,0.0002205,-39.4
19729,-1.21e-05,4.974e-05,-8.26e-06,2.463e-05,1.035e-05,1.737e-05,3.111e-05,1.491e-05,2.557e-05,0.0001845,0.0002320,0.0002516,0.0002407,0.0002561,0.0001046,0.0001727,0.0002375,0.0001708,0.0002204,-39.4
20092,-1.14e-05,5.060e-05,-7.91e-06,2.414e-05,1.069e-05,1.806e-05,2.974e-05,1.503e-05,2.734e-05,0.0001896,0.0002344,0.0002788,0.0002459,0.0002555,0.0001091,0.0001801,0.0002580,0.0001769,0.0002293,-39.4
20160,-1.15e-05,4.958e-05,-6.18e-06,2.736e-05,1.081e-05,1.843e-05,3.263e-05,1.517e-05,2.632e-05,0.0001776,0.0002659,0.0002500,0.0002748,0.0002801,0.0001113,0.0001639,0.0002366,0.0001730,0.0002230,-39.4
20464,-1.21e-05,4.884e-05,-6.29e-06,2.537e-05,1.074e-05,1.693e-05,3.076e-05,1.448e-05,2.501e-05,0.0002163,0.0002535,0.0003044,0.0002660,0.0002853,0.0001062,0.0001727,0.0002399,0.0001647,0.0002243,-39.4
21964,-1.12e-05,5.017e-05,-4.25e-06,2.744e-05,1.088e-05,1.819e-05,3.251e-05,1.494e-05,2.568e-05,0.0002063,0.0002583,0.0003045,0.0002773,0.0002773,0.0001123,0.0001730,0.0002452,0.0001712,0.0002253,-39.4
22325,-1.10e-05,5.140e-05,-5.62e-06,2.773e-05,1.095e-05,1.866e-05,3.177e-05,1.541e-05,2.762e-05,0.0001780,0.0002738,0.0002649,0.0002827,0.0002644,0.0001155,0.0001777,0.0002482,0.0001837,0.0002295,-39.4
22525,-1.22e-05,4.811e-05,-7.78e-06,2.376e-05,1.099e-05,1.708e-05,3.294e-05,1.401e-05,2.554e-05,0.0002338,0.0002585,0.0002896,0.0002628,0.0002679,0.0001067,0.0001827,0.0002518,0.0001653,0.0002277,-39.4
22915,-1.27e-05,4.851e-05,-8.55e-06,2.385e-05,1.047e-05,1.674e-05,3.230e-05,1.408e-05,2.630e-05,0.0002306,0.0002554,0.0002907,0.0002720,0.0002628,0.0001042,0.0001773,0.0002603,0.0001678,0.0002265,-39.4
23211,-1.24e-05,4.972e-05,-6.68e-06,2.596e-05,1.027e-05,1.716e-05,3.320e-05,1.399e-05,2.508e-05,0.0002285,0.0002502,0.0002533,0.0002605,0.0002802,0.0001048,0.0001746,0.0002486,0.0001648,0.0002248,-39.4
23487,-1.22e-05,4.671e-05,-8.63e-06,2.358e-05,1.069e-05,1.769e-05,3.297e-05,1.426e-05,2.586e-05,0.0002319,0.0002525,0.0002992,0.0002566,0.0002729,0.0001091,0.0001878,0.0002640,0.0001703,0.0002233,-39.4
23818,-1.25e-05,4.914e-05,-6.93e-06,2.519e-05,1.048e-05,1.779e-05,3.103e-05,1.449e-05,2.615e-05,0.0002153,0.0002598,0.0002798,0.0002632,0.0002786,0.0001104,0.0001796,0.0002509,0.0001743,0.0002300,-39.4
23855,-1.27e-05,4.915e-05,-6.50e-06,2.480e-05,1.069e-05,1.698e-05,2.972e-05,1.387e-05,2.577e-05,0.0002249,0.0002620,0.0002763,0.0002613,0.0002699,0.0001034,0.0001778,0.0002478,0.0001600,0.0002296,-39.4
23862,-1.15e-05,5.003e-05,-5.38e-06,2.597e-05,1.113e-05,1.730e-05,3.028e-05,1.399e-05,2.470e-05,0.0002244,0.0002623,0.0003379,0.0002630,0.0002768,0.0001075,0.0001821,0.0002521,0.0001601,0.0002281,-39.4
24701,-1.18e-05,5.076e-05,-5.35e-06,2.765e-05,1.078e-05,1.846e-05,3.056e-05,1.476e-05,2.602e-05,0.0001898,0.0002582,0.0003011,0.0002810,0.0002714,0.0001125,0.0001723,0.0002463,0.0001771,0.0002310,-39.4
