Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1253,-3.42e-06,5.270e-05,-9.30e-06,2.333e-05,1.134e-05,1.396e-05,3.289e-05,1.333e-05,2.561e-05,0.0002063,0.0002552,0.0002623,0.0002597,0.0002587,0.0001102,0.0002056,0.0002570,0.0001708,0.0002270,-36.116
1536,-3.68e-06,5.250e-05,-8.59e-06,2.980e-05,1.283e-05,1.511e-05,3.786e-05,1.423e-05,2.917e-05,0.0001925,0.0002417,0.0002418,0.0002755,0.0002525,0.0001283,0.0001638,0.0002393,0.0002003,0.0002380,-36.116
1646,-4.66e-06,5.609e-05,-6.24e-06,2.756e-05,1.094e-05,1.324e-05,3.230e-05,1.379e-05,2.573e-05,0.0001976,0.0002518,0.0002695,0.0002679,0.0002367,9.511e-05,0.0001931,0.0002497,0.0001604,0.0002199,-36.116
3232,-3.43e-06,5.223e-05,-9.80e-06,2.166e-05,1.118e-05,1.415e-05,3.323e-05,1.253e-05,2.456e-05,0.0001996,0.0002647,0.0002829,0.0002568,0.0002587,0.0001095,0.0002089,0.0002480,0.0001627,0.0002218,-36.116
3358,-4.70e-06,5.534e-05,-5.69e-06,2.889e-05,1.101e-05,1.456e-05,3.302e-05,1.460e-05,2.734e-05,0.0002078,0.0002659,0.0002209,0.0002705,0.0002311,0.0001032,0.0001873,0.0002461,0.0001793,0.0002260,-36.116
3597,-4.64e-06,5.338e-05,-7.74e-06,2.609e-05,1.099e-05,1.362e-05,3.522e-05,1.374e-05,2.634e-05,0.0002068,0.0002504,0.0002837,0.0002736,0.0002579,0.0001059,0.0001992,0.0002411,0.0001726,0.0002210,-36.116
3816,-3.93e-06,5.533e-05,-5.75e-06,3.241e-05,1.321e-05,1.663e-05,3.710e-05,1.585e-05,3.011e-05,0.0001930,0.0002594,0.0002705,0.0003244,0.0002567,0.0001316,0.0001443,0.0002525,0.0001991,0.0002345,-36.116
4358,-4.45e-06,5.682e-05,-6.09e-06,2.718e-05,1.110e-05,1.405e-05,3.091e-05,1.444e-05,2.759e-05,0.0002095,0.0002613,0.0002483,0.0002760,0.0002812,0.0001011,0.0001951,0.0002440,0.0001708,0.0002270,-36.116
4432,-4.50e-06,5.544e-05,-6.07e-06,2.957e-05,1.113e-05,1.434e-05,3.399e-05,1.479e-05,2.689e-05,0.0001978,0.0002330,0.0002322,0.0002672,0.0002409,0.0001109,0.0001770,0.0002512,0.0001832,0.0002223,-36.116
5662,1.298e-05,4.964e-05,1.564e-05,3.457e-05,1.149e-05,1.779e-05,3.016e-05,1.459e-05,2.137e-05,0.0001963,0.0002546,0.0002541,0.0002627,0.0002495,0.0001127,0.0001961,0.0002406,0.0001880,0.0002208,-36.116
6260,1.508e-05,5.278e-05,1.633e-05,3.269e-05,1.284e-05,2.064e-05,2.834e-05,1.757e-05,2.283e-05,0.0002026,0.0002606,0.0003068,0.0002787,0.0002853,0.0001135,0.0002020,0.0002455,0.0002079,0.0002195,-36.116
6262,-3.72e-06,5.382e-05,-6.74e-06,2.722e-05,1.093e-05,1.351e-05,4.044e-05,1.403e-05,2.600e-05,0.0001964,0.0002651,0.0002117,0.0002811,0.0002655,0.0001038,0.0001949,0.0002561,0.0001715,0.0002289,-36.116
6655,-3.29e-06,5.629e-05,-3.42e-06,3.382e-05,1.362e-05,1.771e-05,3.786e-05,1.562e-05,2.982e-05,0.0001958,0.0002494,0.0002774,0.0003046,0.0002661,0.0001338,0.0001421,0.0002390,0.0001963,0.0002325,-36.116
7144,-4.72e-06,5.197e-05,-4.68e-06,2.952e-05,1.126e-05,1.490e-05,3.900e-05,1.456e-05,2.700e-05,0.0001964,0.0002593,0.0002647,0.0002775,0.0002773,0.0001031,0.0001811,0.0002265,0.0001797,0.0002253,-36.116
7558,-3.80e-06,5.304e-05,-7.14e-06,2.827e-05,1.167e-05,1.438e-05,3.690e-05,1.463e-05,2.699e-05,0.0001958,0.0002703,0.0002786,0.0002978,0.0002535,0.0001141,0.0001905,0.0002447,0.0001858,0.0002354,-36.116
7983,-3.67e-06,5.442e-05,-7.60e-06,2.758e-05,1.202e-05,1.538e-05,3.705e-05,1.464e-05,2.915e-05,0.0002005,0.0002438,0.0002695,0.0003083,0.0002815,0.0001241,0.0001749,0.0002514,0.0002002,0.0002345,-36.116
