Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1186,-1.05e-06,2.977e-06,-1.62e-05,-2.96e-05,1.890e-05,2.097e-05,2.454e-05,9.921e-06,8.392e-06,0.0001943,0.0001941,0.0001896,0.0001944,0.0001869,0.0001946,0.0002110,0.0002239,4.798e-05,6.593e-05,-9.988
1334,2.248e-06,7.476e-06,-1.75e-05,-2.87e-05,1.921e-05,2.136e-05,2.613e-05,1.063e-05,8.570e-06,0.0002223,0.0002364,0.0002041,0.0002018,0.0002019,0.0001998,0.0002082,0.0002242,0.0001269,8.468e-05,-9.988
1673,-1.28e-06,2.776e-06,-1.67e-05,-3.03e-05,1.949e-05,2.171e-05,2.011e-05,1.029e-05,8.499e-06,0.0002078,0.0002123,0.0001752,0.0001916,0.0001862,0.0001942,0.0002041,0.0002321,5.524e-05,6.517e-05,-9.988
2093,9.528e-07,1.482e-06,-1.78e-05,-3.04e-05,2.022e-05,2.297e-05,2.653e-05,1.110e-05,8.496e-06,0.0002077,0.0002105,0.0002500,0.0002083,0.0002078,0.0001949,0.0002154,0.0002301,0.0001417,9.781e-05,-9.988
2321,-2.63e-06,-5.25e-08,-1.55e-05,-3.01e-05,1.925e-05,2.158e-05,2.753e-05,1.065e-05,8.410e-06,0.0002193,0.0002077,0.0002286,0.0001918,0.0001812,0.0002025,0.0002049,0.0002209,3.995e-05,5.908e-05,-9.988
2898,-1.51e-06,4.223e-07,-1.35e-05,-2.88e-05,2.005e-05,2.044e-05,2.816e-05,1.133e-05,8.602e-06,0.0001875,0.0002038,0.0002303,0.0002161,0.0001754,0.0002012,0.0002013,0.0002200,3.685e-05,5.172e-05,-9.988
3023,-1.50e-06,1.141e-06,-1.45e-05,-2.95e-05,2.040e-05,1.999e-05,2.586e-05,1.116e-05,8.507e-06,0.0001978,0.0002325,0.0002174,0.0002103,0.0001778,0.0001980,0.0002044,0.0002280,3.855e-05,5.534e-05,-9.988
3254,1.691e-06,2.202e-06,-1.87e-05,-3.10e-05,1.749e-05,2.288e-05,2.882e-05,1.139e-05,8.627e-06,0.0001982,0.0002152,0.0001649,0.0002069,0.0001999,0.0002033,0.0002075,0.0001990,0.0001377,0.0001006,-9.988
5477,4.615e-07,2.234e-06,-1.63e-05,-2.97e-05,1.935e-05,2.058e-05,2.377e-05,1.010e-05,8.402e-06,0.0002052,0.0002064,0.0002424,0.0001915,0.0001874,0.0002010,0.0002082,0.0002229,8.715e-05,7.172e-05,-9.988
5541,-1.20e-07,7.427e-07,-1.42e-05,-2.93e-05,2.001e-05,1.961e-05,2.766e-05,1.107e-05,8.363e-06,0.0002128,0.0002079,0.0002243,0.0001867,0.0001819,0.0002008,0.0002033,0.0002183,4.290e-05,5.907e-05,-9.988
